datetime_utc,storm_date,storm_label,storm_desc,bou_X_nT,bou_Y_nT,bou_Z_nT,bou_F_nT,kbr_range_m,kbr_range_rate_ms,kbr_range_accl_ms2
2003-10-29 00:00:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20590.780,3715.380,49378.100,53627.500,551195.1067,-0.96079139,-0.0026751490
2003-10-29 00:01:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20593.440,3715.860,49378.000,53628.600,551132.6534,-1.12071900,-0.0026481906
2003-10-29 00:02:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20595.890,3716.920,49378.000,53629.800,551060.6843,-1.27744878,-0.0025696005
2003-10-29 00:03:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20598.660,3716.800,49378.400,53631.100,550979.4600,-1.42930979,-0.0024972649
2003-10-29 00:04:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20602.300,3717.460,49378.300,53632.100,550889.2466,-1.57708748,-0.0024254055
2003-10-29 00:05:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20602.440,3715.010,49379.700,53633.400,550790.3066,-1.72000351,-0.0023342350
2003-10-29 00:06:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20603.070,3712.030,49379.300,53632.900,550682.9745,-1.85649507,-0.0022108960
2003-10-29 00:07:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20602.560,3713.170,49378.900,53632.600,550567.6859,-1.98509243,-0.0020741884
2003-10-29 00:08:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20600.690,3712.840,49379.000,53632.100,550444.9349,-2.10510074,-0.0019236441
2003-10-29 00:09:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20599.740,3710.810,49379.300,53631.500,550315.2620,-2.21571112,-0.0017620674
2003-10-29 00:10:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20596.890,3709.680,49379.100,53630.400,550179.2466,-2.31647543,-0.0015954351
2003-10-29 00:11:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20596.490,3710.220,49378.300,53629.300,550037.4944,-2.40673887,-0.0014097154
2003-10-29 00:12:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20593.440,3709.670,49378.800,53628.600,549890.6713,-2.48535842,-0.0012093931
2003-10-29 00:13:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20589.800,3709.020,49378.300,53627.000,549739.4962,-2.55172778,-0.0010008368
2003-10-29 00:14:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20598.120,3706.800,49378.500,53630.700,549584.7227,-2.60517189,-0.0007793620
2003-10-29 00:15:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20604.560,3705.490,49377.700,53631.700,549427.1473,-2.64499628,-0.0005445241
2003-10-29 00:16:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20603.670,3705.330,49378.200,53631.600,549267.6149,-2.67029995,-0.0003002658
2003-10-29 00:17:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20604.890,3703.070,49378.800,53632.600,549106.9966,-2.68133560,-0.0000686612
2003-10-29 00:18:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20606.410,3700.250,49378.600,53632.800,548946.1342,-2.67833766,0.0001719287
2003-10-29 00:19:00,2003-10-29,Halloween_D1,"X17.2 flare, Kp=9+, Dst=-353nT",20607.020,3699.120,49378.200,53632.400,548785.8956,-2.66040101,0.0004260299
